ID,Date,Latitude,Longitude,year,keep,Class,class_code,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,A21,A22,A23,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A49,A50,A51,A52,A53,A54,A55,A56,A57,A58,A59,A60,A61,A62,A63,B11_mean,B12_mean,B2_mean,B3_mean,B4_mean,B8A_mean,B8_mean,BSI_mean,NDWI_mean,VH_mean,VV_mean,mTGSI_mean
sedinet-1,2020-06-15,18.459221,-65.987196,2020,True,sand,1,0.08882737408688965,-0.16000000000000003,-0.06698961937716265,-0.06698961937716265,-0.2069357939254133,0.010396001537870049,0.14173010380622836,-0.10340638216070744,-0.1929104190695886,0.16000000000000003,0.21413302575932336,-0.14173010380622836,-0.2679584775086506,-0.11909265667051133,0.01574778931180315,-0.019930795847750864,0.17279507881584008,-0.07972318339100345,-0.17279507881584008,0.11374086889657825,0.11374086889657825,0.14173010380622836,-0.15378700499807765,-0.08421376393694734,-0.10340638216070744,-0.010396001537870049,0.1085121107266436,0.004982698961937716,-0.08421376393694734,0.2364628988850442,0.16633602460592078,0.010396001537870049,0.07972318339100345,-0.07111111111111111,-0.07111111111111111,0.14769703960015382,0.08882737408688965,0.07111111111111111,-0.16000000000000003,0.17279507881584008,0.06698961937716265,-0.19986159169550174,-0.01384083044982699,0.12456747404844293,-0.15378700499807765,0.008858131487889272,-0.03543252595155709,-0.03543252595155709,0.15378700499807765,-0.0005536332179930795,-0.03254133025759323,0.16000000000000003,-0.14769703960015382,0.1929104190695886,0.12456747404844293,-0.09842368319876971,0.08421376393694734,0.08882737408688965,0.007443291041906958,0.044844290657439445,0.12456747404844293,-0.19986159169550174,-0.09356401384083046,0.07972318339100345,3082.147705078125,2350.660888671875,1497.939086914062,2036.643432617188,2455.339111328125,3187.165283203125,3118.939208984375,0.09069553762674332,-0.2096317559480667,-19.27510833740234,-11.14899158477783,0.01598645187914371
sedinet-2,2020-06-22,38.665018,-75.067643,2020,True,sand,1,0.03543252595155709,-0.010396001537870049,-0.007443291041906958,-0.12456747404844293,0.019930795847750864,-0.07535563244905807,-0.09356401384083046,-0.006151480199923107,-0.08882737408688965,0.05911572472126105,0.1085121107266436,-0.024605920799692427,-0.2069357939254133,-0.12456747404844293,-0.05173394848135333,0.041584006151480196,-0.08421376393694734,-0.03844675124951941,0.05536332179930796,0.08882737408688965,0.03543252595155709,-0.11909265667051133,-0.14173010380622836,-0.05173394848135333,-0.11374086889657825,0.03254133025759323,0.2364628988850442,-0.04822760476739715,-0.13016532103037293,-0.1085121107266436,0.07111111111111111,0.186082276047674,0.10340638216070744,0.09842368319876971,-0.2761399461745483,-0.15378700499807765,-0.007443291041906958,0.16000000000000003,0.11909265667051133,0.1085121107266436,0.186082276047674,0.16000000000000003,0.14173010380622836,0.03543252595155709,0.13588619761630144,0.09356401384083046,0.022206843521722412,-0.17937716262975778,0.19986159169550174,-0.24415224913494812,-0.008858131487889272,0.15378700499807765,-0.13016532103037293,-0.07535563244905807,0.12456747404844293,-0.16000000000000003,0.11374086889657825,0.16633602460592078,0.29287197231833906,0.03844675124951941,-0.13588619761630144,-0.008858131487889272,-0.15378700499807765,-0.09842368319876971,5833.45751953125,5831.15625,2563.513916015625,3196.8740234375,3811.132568359375,4637.34716796875,4845.52880859375,0.1311763226985931,-0.2055698484182358,-25.32026481628418,-18.38414192199707,0.1100441217422485
sedinet-3,2020-06-22,38.665267,-75.067228,2020,True,sand,1,0.05173394848135333,-0.008858131487889272,-0.010396001537870049,-0.13016532103037293,0.01574778931180315,-0.041584006151480196,-0.09842368319876971,-0.003936947327950788,-0.10340638216070744,0.08421376393694734,0.10340638216070744,-0.08882737408688965,-0.21413302575932336,-0.14769703960015382,-0.05911572472126105,0.007443291041906958,-0.0629911572472126,-0.0629911572472126,0.029773164167627833,0.11909265667051133,0.044844290657439445,-0.08882737408688965,-0.16633602460592078,-0.05173394848135333,-0.16633602460592078,0.01384083044982699,0.2069357939254133,-0.11374086889657825,-0.1085121107266436,-0.11374086889657825,0.08882737408688965,0.19986159169550174,0.14769703960015382,0.05536332179930796,-0.2679584775086506,-0.08421376393694734,0.029773164167627833,0.17279507881584008,0.09356401384083046,0.07972318339100345,0.1085121107266436,0.14769703960015382,0.12456747404844293,0.024605920799692427,0.14173010380622836,0.11374086889657825,-0.006151480199923107,-0.14173010380622836,0.17279507881584008,-0.22145328719723184,-0.017777777777777778,0.186082276047674,-0.15378700499807765,-0.05173394848135333,0.13016532103037293,-0.14173010380622836,0.12456747404844293,0.2069357939254133,0.29287197231833906,0.0629911572472126,-0.14769703960015382,-0.07111111111111111,-0.186082276047674,-0.07535563244905807,4981.91552734375,4856.9873046875,2354.341796875,2964.010986328125,3529.033203125,4243.1376953125,4408.56640625,0.1127727180719376,-0.1954992711544037,-27.38460540771484,-16.11405372619629,0.08758709579706192
sedinet-6,2020-06-24,39.792648,-74.092864,2020,True,sand,1,0.044844290657439445,-0.012056901191849288,-0.01574778931180315,-0.13016532103037293,0.017777777777777778,-0.06698961937716265,-0.1085121107266436,-0.019930795847750864,-0.13588619761630144,0.14769703960015382,0.08882737408688965,-0.09356401384083046,-0.2069357939254133,-0.14769703960015382,-0.11374086889657825,0.029773164167627833,-0.022206843521722412,-0.041584006151480196,0.044844290657439445,0.1085121107266436,0.06698961937716265,-0.17937716262975778,-0.14769703960015382,-0.041584006151480196,-0.13016532103037293,0.03844675124951941,0.11909265667051133,-0.06698961937716265,-0.1085121107266436,-0.11374086889657825,0.04822760476739715,0.1929104190695886,0.186082276047674,0.01384083044982699,-0.2679584775086506,-0.10340638216070744,0.0629911572472126,0.14769703960015382,0.09842368319876971,0.10340638216070744,0.13588619761630144,0.11909265667051133,0.13588619761630144,0.024605920799692427,0.13588619761630144,0.11909265667051133,0.03844675124951941,-0.11909265667051133,0.17937716262975778,-0.186082276047674,0.01384083044982699,0.19986159169550174,-0.1085121107266436,-0.07972318339100345,0.16633602460592078,-0.11909265667051133,0.14769703960015382,0.24415224913494812,0.2364628988850442,0.04822760476739715,-0.11374086889657825,-0.1085121107266436,-0.21413302575932336,-0.08882737408688965,5635.236328125,5776.58984375,3151.784912109375,3670.046142578125,4159.59130859375,4879.9033203125,4993.056640625,0.09193067252635956,-0.1538510173559189,-23.13421058654785,-16.05892372131348,0.08217218518257141
sedinet-8,2020-07-06,18.445227,-65.926667,2020,True,sand,1,0.044844290657439445,-0.06698961937716265,-0.05911572472126105,-0.09842368319876971,-0.22145328719723184,0.05911572472126105,0.09842368319876971,-0.03543252595155709,-0.2069357939254133,0.13016532103037293,0.2761399461745483,-0.05536332179930796,-0.16633602460592078,-0.024605920799692427,-0.0629911572472126,0.0629911572472126,0.1929104190695886,-0.2364628988850442,-0.17937716262975778,0.05911572472126105,0.07111111111111111,0.07972318339100345,-0.03254133025759323,-0.019930795847750864,-0.16000000000000003,-0.1085121107266436,0.019930795847750864,-0.002214532871972318,-0.08421376393694734,0.24415224913494812,0.06698961937716265,0.06698961937716265,0.15378700499807765,-0.08421376393694734,-0.1085121107266436,0.10340638216070744,0.16000000000000003,0.09356401384083046,-0.186082276047674,0.2364628988850442,0.10340638216070744,-0.21413302575932336,0.13016532103037293,0.09842368319876971,-0.22145328719723184,0.05911572472126105,-0.03844675124951941,0.024605920799692427,0.12456747404844293,-0.06698961937716265,-0.003936947327950788,0.14173010380622836,-0.08421376393694734,0.07111111111111111,0.13016532103037293,-0.13588619761630144,0.04822760476739715,0.0629911572472126,0.05173394848135333,0.03543252595155709,0.11374086889657825,-0.24415224913494812,0.003014225297962322,0.07972318339100345,2973.487548828125,2199.083740234375,1449.053588867188,2154.157470703125,2620.130615234375,3486.46240234375,3388.0,0.06775439530611038,-0.2234496176242828,-21.69249153137207,-14.4000883102417,-0.006161240860819817
sedinet-9,2020-07-14,40.284326,-73.982051,2020,True,sand,1,0.01384083044982699,-0.14769703960015382,0.1085121107266436,-0.16000000000000003,0.017777777777777778,-0.012056901191849288,-0.04822760476739715,-0.05536332179930796,-0.11909265667051133,0.07972318339100345,0.1085121107266436,-0.06698961937716265,-0.2288965782391388,-0.11374086889657825,-0.01384083044982699,0.041584006151480196,0.003014225297962322,0.029773164167627833,0.041584006151480196,0.04822760476739715,0.05911572472126105,-0.14173010380622836,-0.14769703960015382,-0.06698961937716265,-0.17279507881584008,0.0271280276816609,0.07535563244905807,-0.04822760476739715,-0.07535563244905807,0.01574778931180315,0.09356401384083046,0.03543252595155709,0.16633602460592078,0.0005536332179930795,-0.2761399461745483,-0.05536332179930796,-0.07535563244905807,0.07535563244905807,0.017777777777777778,0.17937716262975778,0.06698961937716265,0.14769703960015382,0.03844675124951941,-0.000984236831987697,0.06698961937716265,0.11374086889657825,0.06698961937716265,-0.08882737408688965,0.2069357939254133,-0.22145328719723184,-0.01574778931180315,0.2288965782391388,-0.22145328719723184,-0.0629911572472126,0.17279507881584008,-0.186082276047674,0.08882737408688965,0.17937716262975778,0.28444444444444444,0.13588619761630144,-0.17279507881584008,-0.17279507881584008,-0.14173010380622836,-0.17937716262975778,4751.84716796875,4929.4345703125,2303.491943359375,2968.03173828125,3448.207763671875,4048.751708984375,4089.3505859375,0.1232184693217278,-0.159561887383461,-23.53012084960938,-13.20068264007568,0.1108308732509613
sedinet-10,2020-07-14,40.284633,-73.981617,2020,True,sand,1,0.008858131487889272,-0.13588619761630144,0.08421376393694734,-0.13016532103037293,0.01574778931180315,-0.004982698961937716,-0.07535563244905807,-0.05911572472126105,-0.12456747404844293,0.11374086889657825,0.08421376393694734,-0.08882737408688965,-0.2364628988850442,-0.14769703960015382,-0.010396001537870049,0.010396001537870049,-0.019930795847750864,0.05911572472126105,0.03543252595155709,0.08882737408688965,0.06698961937716265,-0.13588619761630144,-0.14769703960015382,-0.041584006151480196,-0.17937716262975778,0.03543252595155709,0.05911572472126105,-0.0629911572472126,-0.0629911572472126,-0.010396001537870049,0.1085121107266436,0.03844675124951941,0.2069357939254133,-0.004982698961937716,-0.2761399461745483,-0.05911572472126105,-0.0271280276816609,0.05911572472126105,0.04822760476739715,0.16000000000000003,0.044844290657439445,0.13016532103037293,0.04822760476739715,0.024605920799692427,0.08421376393694734,0.13016532103037293,0.06698961937716265,-0.07972318339100345,0.2069357939254133,-0.17937716262975778,-0.03844675124951941,0.2288965782391388,-0.19986159169550174,-0.044844290657439445,0.186082276047674,-0.15378700499807765,0.08421376393694734,0.19986159169550174,0.2519646289888504,0.13588619761630144,-0.19986159169550174,-0.1929104190695886,-0.16000000000000003,-0.17937716262975778,4751.84716796875,4929.4345703125,2303.491943359375,2968.03173828125,3448.207763671875,4048.751708984375,4089.3505859375,0.1232184693217278,-0.159561887383461,-23.53012084960938,-13.20068264007568,0.1108308732509613
sedinet-12,2020-08-05,40.426506,-73.982515,2020,True,sand,1,0.05536332179930796,-0.029773164167627833,0.017777777777777778,-0.16000000000000003,0.012056901191849288,-0.03543252595155709,-0.08421376393694734,-0.024605920799692427,-0.06698961937716265,0.11909265667051133,0.13016532103037293,-0.14173010380622836,-0.2069357939254133,-0.19986159169550174,-0.03543252595155709,0.022206843521722412,-0.03254133025759323,-0.03254133025759323,0.029773164167627833,0.09356401384083046,0.07972318339100345,-0.07535563244905807,-0.15378700499807765,-0.03254133025759323,-0.14769703960015382,-0.008858131487889272,0.16000000000000003,-0.13588619761630144,-0.029773164167627833,-0.10340638216070744,0.10340638216070744,0.17279507881584008,0.17937716262975778,0.003936947327950788,-0.29287197231833906,-0.08421376393694734,0.041584006151480196,0.13588619761630144,0.09842368319876971,0.044844290657439445,0.07972318339100345,0.11374086889657825,0.11909265667051133,0.029773164167627833,0.13016532103037293,0.10340638216070744,0.008858131487889272,-0.1085121107266436,0.2288965782391388,-0.22145328719723184,-0.003936947327950788,0.1929104190695886,-0.16633602460592078,-0.0271280276816609,0.13588619761630144,-0.15378700499807765,0.14173010380622836,0.17279507881584008,0.2761399461745483,0.06698961937716265,-0.13588619761630144,-0.11909265667051133,-0.2069357939254133,-0.11374086889657825,4585.64013671875,4578.53759765625,2134.49658203125,2776.879150390625,3268.596923828125,3935.75634765625,3894.487548828125,0.1307025551795959,-0.1680910140275955,-26.06931114196777,-15.99802303314209,0.108390636742115
sedinet-13,2020-08-05,40.4262808350001,-73.982730407,2020,True,sand,1,0.03543252595155709,-0.029773164167627833,0.019930795847750864,-0.16633602460592078,0.010396001537870049,-0.05911572472126105,-0.09356401384083046,-0.044844290657439445,-0.05173394848135333,0.10340638216070744,0.11909265667051133,-0.12456747404844293,-0.22145328719723184,-0.1929104190695886,-0.03844675124951941,0.05911572472126105,-0.03844675124951941,-0.029773164167627833,0.05911572472126105,0.07111111111111111,0.07972318339100345,-0.07972318339100345,-0.15378700499807765,-0.03254133025759323,-0.14173010380622836,-0.012056901191849288,0.16633602460592078,-0.09356401384083046,-0.03844675124951941,-0.12456747404844293,0.11909265667051133,0.14769703960015382,0.15378700499807765,0.019930795847750864,-0.29287197231833906,-0.13016532103037293,0.022206843521722412,0.15378700499807765,0.11909265667051133,0.05911572472126105,0.12456747404844293,0.13016532103037293,0.13588619761630144,0.017777777777777778,0.11909265667051133,0.08421376393694734,0.01574778931180315,-0.13588619761630144,0.22145328719723184,-0.2069357939254133,-0.01384083044982699,0.17937716262975778,-0.16000000000000003,-0.029773164167627833,0.13588619761630144,-0.15378700499807765,0.15378700499807765,0.16000000000000003,0.28444444444444444,0.05911572472126105,-0.14173010380622836,-0.08882737408688965,-0.186082276047674,-0.12456747404844293,4585.64013671875,4578.53759765625,2134.49658203125,2776.879150390625,3268.596923828125,3935.75634765625,3894.487548828125,0.1307025551795959,-0.1680910140275955,-26.06931114196777,-15.99802303314209,0.108390636742115
sedinet-14,2020-08-05,40.411625,-73.978334,2020,True,sand,1,0.05536332179930796,-0.08882737408688965,-0.029773164167627833,-0.16000000000000003,0.019930795847750864,-0.01384083044982699,-0.1929104190695886,-0.05911572472126105,-0.11374086889657825,0.09842368319876971,0.15378700499807765,-0.11909265667051133,-0.1929104190695886,-0.15378700499807765,-0.07972318339100345,0.05911572472126105,-0.0629911572472126,-0.044844290657439445,0.010396001537870049,0.05911572472126105,0.0271280276816609,-0.09842368319876971,-0.13016532103037293,0.0271280276816609,-0.1929104190695886,0.024605920799692427,0.12456747404844293,-0.12456747404844293,-0.05173394848135333,-0.07111111111111111,0.024605920799692427,0.2069357939254133,0.17937716262975778,-0.002214532871972318,-0.2364628988850442,-0.09356401384083046,0.07972318339100345,0.14769703960015382,0.08882737408688965,0.10340638216070744,0.10340638216070744,0.11909265667051133,0.16000000000000003,0.024605920799692427,0.186082276047674,0.10340638216070744,0.007443291041906958,-0.09356401384083046,0.22145328719723184,-0.22145328719723184,0.029773164167627833,0.2069357939254133,-0.13016532103037293,-0.08421376393694734,0.14173010380622836,-0.14769703960015382,0.17937716262975778,0.19986159169550174,0.2288965782391388,0.06698961937716265,-0.08421376393694734,-0.08421376393694734,-0.15378700499807765,-0.09356401384083046,3999.627685546875,3991.361083984375,2050.937255859375,2635.09423828125,3035.403564453125,3663.833984375,3629.778076171875,0.1067080050706863,-0.1581043601036072,-25.13074493408203,-16.41511917114258,0.08757593482732773
